gene_id	gene_name	SRR2219873	SRR2219887	SRR2219889	SRR2219891	SRR2219895	SRR2219907
ENSG00000158955.11	WNT9B	0	1	3	0	1	0
ENSG00000158966.16	CACHD1	55	88	65	197	46	85
ENSG00000158985.14	CDC42SE2	188	631.001	672	310.999	430	263
ENSG00000158987.22	RAPGEF6	99	191	184	132	233	116
ENSG00000159023.23	EPB41	72	373.999	458	282	197.001	263
ENSG00000159055.4	MIS18A	74	62	22	144	175	216
ENSG00000159063.14	ALG8	203.999	114.999	122	74	229.999	123.001
ENSG00000159069.14	FBXW5	221	711.999	506.001	521	498.001	309
ENSG00000159079.19	CFAP298	120.958	205.229	111.465	242.777	273.731	308.662
ENSG00000159082.18	SYNJ1	69	104	113	106	141	108
ENSG00000159086.15	PAXBP1	190.999	275.001	211	633.001	339.001	474.998
ENSG00000159110.22	IFNAR2	159.999	398.652	282.388	253.033	365.176	222
ENSG00000159111.13	MRPL10	108	113.001	122	129	281	194.965
ENSG00000159128.16	IFNGR2	491	580	903.999	278	1152.999	694
ENSG00000159131.17	GART	534	412.999	245.001	200	1018.999	700.999
ENSG00000159140.23	SON	1287	1706.001	1347.999	1268.999	1805.001	2098.001
ENSG00000159147.18	DONSON	112.539	129.79	52.852	248	248	187.157
ENSG00000159164.10	SV2A	6	27	25	78	36	18
ENSG00000159166.15	LAD1	1397.999	412	191	487	2281	1864.999
ENSG00000159167.12	STC1	308	198	235	11	112	37
ENSG00000159173.20	TNNI1	54	9.999	1	0	0	5
ENSG00000159176.14	CSRP1	213	569	801	400	851	823
ENSG00000159182.5	PRAC1	0	0	0	0	0	0
ENSG00000159184.8	HOXB13	7	3	0	1	16	33
ENSG00000159186.4	ATP5POP1	0	0	0	0	0	0
ENSG00000159189.13	C1QC	35	1138.972	2855.773	124.001	707.096	208
ENSG00000159197.5	KCNE2	0	0	1	2	0	1
ENSG00000159199.14	ATP5MC1	106.991	209	136	205	511	101.011
ENSG00000159200.18	RCAN1	274.999	320.101	198.185	135	2335	154
ENSG00000159202.18	UBE2Z	360	742.999	574	374	1257.999	807.001
ENSG00000159208.16	CIART	15.999	20	28	35	12	42
ENSG00000159210.10	SNF8	142.001	176.999	202	172.995	436	358.001
ENSG00000159212.13	CLIC6	23	15	41	35	7	184
ENSG00000159214.13	CCDC24	16	46	44	99.001	42	89
ENSG00000159216.20	RUNX1	203	401.999	675	381	889.999	481.001
ENSG00000159217.10	IGF2BP1	24	0	2	2	1	2
ENSG00000159224.4	GIP	0	0	0	0	0	0
ENSG00000159228.13	CBR1	219.808	368.255	239.696	278.795	406.997	603.371
